suON_pp1bycamkii,suON_avgactivity,suON_avgactivity_err,suOFF_pp1bycamkii,suOFF_avgactivity,suOFF_avgactivity_err,suON_intermediate_states,suOFF_intermediate_states,suON_hist_0,suOFF_hist_0,suON_hist_1,suOFF_hist_1,suON_hist_2,suOFF_hist_2,suON_hist_3,suOFF_hist_3,suON_hist_4,suOFF_hist_4,suON_hist_5,suOFF_hist_5,suON_hist_6,suOFF_hist_6,suON_hist_7,suOFF_hist_7,suON_hist_8,suOFF_hist_8,suON_hist_9,suOFF_hist_9,suON_hist_10,suOFF_hist_10,suON_hist_11,suOFF_hist_11,suON_hist_12,suOFF_hist_12
11.0,0.982907920169445,0.03054827886424459,11.0,0.27140761859935164,0.40653577624399273,0.4862563770179155,1.0814985140117568,0.0015589694919090481,0.44790489160837815,0.00027584982966755275,0.14917206470703978,0.00018807942931878597,0.07525684898475689,0.00014210445770752717,0.04245997605443437,0.00013374537196002558,0.032408175443063694,0.00023405440093004476,0.03184811669798109,0.0005893155451988627,0.024609148440644706,0.0007188813742851375,0.03486574665282917,0.0017345102926065816,0.0397641709008651,0.0047521402474546585,0.05355248284136899,0.022055447744782967,0.07177111022804872,0.12215132002824085,0.05379907587092029,0.9287989151192714,0.025921524903002455
12.0,0.9767951779649356,0.05402477118610283,12.0,0.171926782124931,0.27719982201577426,0.32967816233858926,1.0825559383588157,0.0004095952016275783,0.5820891155701475,0.00036779977289007034,0.17156605542459655,0.00022569531518254316,0.07093520165329856,0.0005684178308301087,0.03635366391588445,0.0006102132595676167,0.02777306239607406,0.0006018541738201151,0.02050065779574767,0.001078322061427706,0.013006737423112487,0.0016927148638690736,0.023380362835761972,0.004355083674448332,0.027179567308001445,0.01161077010327972,0.029194106973149333,0.03328169990367761,0.02887646171474427,0.1424847961090385,0.04143598805036542,0.8860463710636745,0.011042352272449612
13.0,0.9628962688899262,0.07028319296499344,13.0,0.0597311332219646,0.16478493709115738,0.16933075990402602,1.0734152780939228,0.007652743001837713,0.8199488003075208,0.002265312237572933,0.19253862160663499,0.0011577333760289714,0.06874360135368086,0.0009947312039526902,0.03212168677699023,0.0008568062891189138,0.017253152982843297,0.0011326561187864665,0.015183139385007448,0.0015422513204140448,0.0,0.0024701098383867223,0.00939257271264725,0.006248416596257445,0.007828663760978315,0.015184279260336653,0.01058716205765384,0.04069620896171153,0.003674958061356157,0.15674121685140247,0.0031551749112387847,0.8463908682775269,0.0013906479016298112
14.0,0.9534691491865324,0.10157961000363942,14.0,0.043519007917983216,0.1331693549603341,0.13471046640541895,1.0728008852914814,0.009169917065009253,0.8605192430245767,0.0013625309768427606,0.1865884723881861,0.0004931860591025943,0.06642281518341997,0.0005475201164613547,0.03131465504391326,0.0007397790886538914,0.016906630882765047,0.001333274176726505,0.005781447669726559,0.002336364466426697,0.0,0.004208799673867055,0.004942499427431853,0.008476112947966621,0.0028633668269623653,0.02154136397131162,0.002325345671577717,0.061903209503123086,0.0026125942545373176,0.19736637358426024,0.0015000759332334684,0.7738549017035817,4.103551185137148e-05
15.0,0.8736643145485387,0.1197188260757179,15.0,0.032400780867210134,0.1258488222905524,0.12592126770036408,0.9948524106960291,0.0788763331134251,1.096321959403993,0.009604589523879338,0.2222012173400875,0.003356172927621892,0.07359339092100407,0.0025745984102304924,0.0,0.002294569037689189,0.031530471439576026,0.002683266524948013,0.01159683829370055,0.003644561385910697,0.0,0.006453214197071235,0.005294087640084345,0.011945133533179785,0.0026916256106955146,0.02471781655536223,0.0,0.062049493503704374,0.001142408385491885,0.19615848569374628,2.2290895326670928e-05,0.6789750989265649,5.015451448500959e-05
16.0,0.7053769497567504,0.1587097815449391,16.0,0.02536950374036937,0.11900233301164632,0.12039232955594517,0.8256854128809654,0.23285905166815202,1.4840649186807928,0.02478886878421599,0.252685608906119,0.007811565631040244,0.0,0.00528294219242101,0.07111193660910288,0.004116849730644537,0.0,0.005036349162869713,0.03351754553726784,0.00654098459742,0.0,0.010223161869194454,0.010417809151600562,0.017328384754570814,0.0,0.03307272275999008,0.003955041713675041,0.06929682084678825,0.0,0.17177503256828408,0.0012610277927659554,0.4952005987677422,0.0001289687515328818
17.0,0.6235807236910638,0.167298742150497,17.0,0.020490369690212288,0.37085083918790834,0.37107653450309086,0.7408741288868141,0.3121491595260784,1.7955901321635759,0.030310044920440794,0.0,0.010695450213928296,0.26916256106955144,0.00549191933610855,0.0,0.005161735449082237,0.06473276002865237,0.0049694764768897,0.0,0.006716525398117534,0.019585337906396244,0.012225162905721088,0.0,0.019501747048921228,0.012839555708162455,0.033653679219441436,0.0,0.06888304610228692,0.004530624475145866,0.16362910350734378,0.0,0.40994628322897336,0.00022569531518254316
18.0,0.4304122186685391,0.17181264845414784,18.0,0.018039871553002393,0.34669308137762883,0.3470190857217814,0.534701458467561,0.5018335333083846,1.8196475809448855,0.0467983415573877,0.0,0.013541718910952589,0.2645567048226781,0.0074521249438976745,0.0,0.00784500197403025,0.05734332822786097,0.008547165176820384,0.0,0.009692359924228103,0.015489385890120463,0.014887531716300346,0.0,0.020918612083122748,0.005149196820460985,0.032366380014326186,0.0,0.056561753710469564,0.0041544656165082945,0.11629160091924223,0.0,0.2465972090941709,0.00032600434415256237
19.0,0.25382396022618403,0.1275011349066419,19.0,0.014952475382492475,0.3645230112770496,0.3650546491305907,0.32700743444226255,0.6958395544221493,2.234945350869409,0.060486344468921566,0.0,0.014457038800304014,0.2905751951203515,0.008551344719694135,0.0,0.006858629855825062,0.0,0.007013272942153841,0.053956226682973306,0.007765590659428985,0.0,0.009629666781121841,0.014594963715137788,0.01547684726149921,0.0,0.02255281334675931,0.0,0.03519593053985548,0.00539662575858703,0.06467006688554612,0.0,0.13483623265007452,0.0005316378535411016
20.0,0.080839753754194,0.07105222885376358,20.0,0.011910089673699876,0.3014085702491136,0.30207060984031575,0.11905009921591775,0.8971723141935989,2.2979293901596844,0.06711091992381657,0.0,0.014900070344921596,0.24739215814875828,0.006181543910277431,0.0,0.00565492150818483,0.0,0.00497365601976345,0.04404569462073542,0.005755230537154849,0.0,0.005567151107836064,0.007081817445283353,0.006574420940410006,0.0,0.00884391272085669,0.0,0.012601321764358658,0.002888900034336552,0.019706544649735015,0.0,0.028291325712419154,0.0006620395912021265
