time,mean_camkii_0.0,std_camkii_0.0,mean_camkii_1e-20,std_camkii_1e-20,mean_camkii_1e-15,std_camkii_1e-15,mean_camkii_1e-14,std_camkii_1e-14,mean_camkii_1e-13,std_camkii_1e-13,mean_camkii_1e-12,std_camkii_1e-12
3362,0.2,0.4000000000000001,0.1,0.30000000000000004,0.7,1.1874342087037917,0.3,0.45825756949558405,0.0,0.0,1.2,1.8330302779823358
3482,0.2,0.4000000000000001,0.1,0.30000000000000004,0.7,1.4177446878757822,0.3,0.45825756949558405,0.0,0.0,1.2,1.8330302779823358
3602,0.3,0.45825756949558394,0.1,0.30000000000000004,0.8,1.4000000000000001,0.2,0.6000000000000001,0.0,0.0,1.1,1.7
3722,0.3,0.45825756949558394,0.1,0.30000000000000004,0.9,1.57797338380595,0.3,0.6403124237432848,0.0,0.0,1.2,1.8330302779823358
3842,0.3,0.45825756949558394,0.1,0.30000000000000004,0.9,1.57797338380595,0.3,0.6403124237432848,0.0,0.0,1.4,2.154065922853802
3962,0.3,0.45825756949558394,0.1,0.30000000000000004,0.9,1.57797338380595,0.5,0.6708203932499369,0.0,0.0,1.6,2.457641145488902
4082,0.3,0.45825756949558394,0.1,0.30000000000000004,1.3,2.0024984394500787,0.8,1.1661903789690602,0.0,0.0,1.6,2.457641145488902
4202,0.3,0.45825756949558394,0.1,0.30000000000000004,1.0,1.61245154965971,0.8,1.1661903789690602,0.0,0.0,1.7,2.6095976701399777
4322,0.3,0.45825756949558394,0.1,0.30000000000000004,1.3,1.9519221295943137,0.8,1.1661903789690602,0.0,0.0,1.6,2.457641145488902
4442,0.3,0.45825756949558394,0.1,0.30000000000000004,1.2,1.9390719429665317,0.6,0.8,0.0,0.0,1.6,2.457641145488902
4562,0.4,0.4898979485566356,0.1,0.30000000000000004,1.1,1.920937271229855,1.2,1.9390719429665317,0.0,0.0,1.8,2.7495454169735036
4682,0.3,0.45825756949558394,0.1,0.30000000000000004,1.2,2.0396078054371136,1.2,1.6,0.0,0.0,1.8,2.7495454169735036
4802,0.3,0.45825756949558394,0.1,0.30000000000000004,1.3,2.0024984394500787,1.2,1.6,0.0,0.0,1.8,2.7495454169735036
4922,0.4,0.4898979485566356,0.1,0.30000000000000004,1.7,2.282542442102666,1.2,1.6,0.0,0.0,1.8,2.7495454169735036
5042,0.4,0.4898979485566356,0.1,0.30000000000000004,2.1,2.3853720883753127,1.5,2.0124611797498106,0.0,0.0,1.9,2.6999999999999997
