time,mean_camkii_0.0,std_camkii_0.0,mean_camkii_1e-20,std_camkii_1e-20,mean_camkii_1e-19,std_camkii_1e-19,mean_camkii_1e-18,std_camkii_1e-18,mean_camkii_1e-17,std_camkii_1e-17,mean_camkii_1e-16,std_camkii_1e-16,mean_camkii_1e-15,std_camkii_1e-15,mean_camkii_1e-14,std_camkii_1e-14,mean_camkii_1e-13,std_camkii_1e-13,mean_camkii_1e-12,std_camkii_1e-12
2162,1.725,1.1177544453054078,1.775,1.4402690720834075,2.075,1.555434023030228,2.0,1.1832159566199232,1.8,1.4696938456699071,2.8,3.001666203960727,3.65,3.503926369089396,4.375,3.547446264568358,4.45,3.285954960129551,3.225,3.6978879106863145
2282,1.7,1.1661903789690602,1.925,1.4897566915439582,2.225,1.422805327513219,2.225,1.2939764294607532,2.05,1.6424067705656844,3.3,2.8653097563788807,3.85,3.7386494887860238,5.075,3.9773577912981373,5.3,3.7696153649941526,3.625,3.8967133587165477
2402,1.975,1.1065147988165362,2.2,1.4525839046333953,2.3,1.4177446878757827,2.4,1.260952021291849,2.475,1.9103337404757315,3.75,3.418698582794336,4.55,4.230543700282507,5.725,4.421467516560536,5.95,3.955692101263696,3.8,4.026164427839479
2522,2.175,1.1377060252982754,2.125,1.486396649619475,2.425,1.6865274975522933,2.55,1.2639224659764536,2.7,2.2045407685048604,4.3,3.6276714294434105,5.225,4.612415310875637,6.325,4.8856294374420175,6.125,4.057015528686081,3.95,4.236448984704053
2642,2.375,1.2183492931011204,2.425,1.5634497113754573,2.55,1.6575584454250776,2.725,1.2244896896258457,2.975,2.230330692969095,4.5,3.7616485747608057,5.6,4.581484475582124,6.8,4.915282290977803,7.075,4.5243093395567024,4.575,4.443464301645733
2762,2.5,1.2649110640673518,2.5,1.4832396974191326,2.725,1.7746478523921305,2.85,1.2757350822173072,3.15,2.2863726730347356,5.15,3.60242973560901,6.375,4.7837615952302635,7.55,4.984726672546851,7.75,4.570284455042159,4.875,4.680745132988977
2882,2.675,1.3488420960216212,2.55,1.4482748357960238,2.825,1.9350387593017353,3.2,1.3638181696985858,3.55,2.344674817538671,5.425,3.910802347345107,6.975,5.364175146282977,8.05,5.295989048327045,8.175,4.34676603925263,5.55,4.636539657977703
3002,2.65,1.3702189606044721,2.7,1.4352700094407325,2.95,2.1324868112136124,3.225,1.6044858989720039,3.85,2.4753787588973126,6.15,4.071547617307208,7.7,5.3535035257296695,8.475,5.286716845075023,9.1,4.3920382511995495,5.7,5.045790324617147
3122,2.8,1.5033296378372911,2.875,1.4523687548277813,3.05,2.011839953873071,3.3,1.4000000000000001,4.175,2.5484063647699515,6.7,4.37149859887888,8.325,5.474429193989087,9.0,5.714017850864661,9.55,4.449438166780161,6.375,5.20426507779917
3242,2.95,1.3955285736952863,3.05,1.6116761461286198,3.175,1.9985932552673142,3.25,1.5124483462254175,4.525,2.597955927262816,7.35,4.333301281932749,8.525,5.607974233179036,9.625,5.940065235332016,10.3,4.6000000000000005,6.65,5.131033034389858
3362,3.1,1.5297058540778357,3.05,1.5803480629279107,3.475,1.8839785030620706,3.45,1.482396708037359,4.5,2.6645825188948455,7.975,4.373142462806351,9.225,5.650165926767106,9.875,5.996613627706891,10.725,4.593405599334767,7.275,5.612430400459322
