time sw0.x0y6[0].N sw0.x1y5[0].N sw0.x2y4[0].N sw0.x3y3[0].N sw0.x4y2[0].N sw0.x5y1[0].N sw0.x6y0[0].N sw0.x0y7[0].N sw0.x1y6[0].N sw0.x2y5[0].N sw0.x3y4[0].N sw0.x4y3[0].N sw0.x5y2[0].N sw0.x6y1[0].N sw0.x7y0[0].N sw0.x[0].N sw0.y[0].N sw0.PP1[0].N sw0.PP1_[0].N sw0.I1P[0].N sw0.I1P_[0].N sw0.I1PPP1[0].N sw0.camkii_pp1_cplx[0].N sw0.pp1_sw0.x1y5_cplx[0].N sw0.pp1_sw0.x2y4_cplx[0].N sw0.pp1_sw0.x3y3_cplx[0].N sw0.pp1_sw0.x4y2_cplx[0].N sw0.pp1_sw0.x5y1_cplx[0].N sw0.pp1_sw0.x6y0_cplx[0].N sw0.pp1_sw0.x1y6_cplx[0].N sw0.pp1_sw0.x2y5_cplx[0].N sw0.pp1_sw0.x3y4_cplx[0].N sw0.pp1_sw0.x4y3_cplx[0].N sw0.pp1_sw0.x5y2_cplx[0].N sw0.pp1_sw0.x6y1_cplx[0].N sw0.pp1_sw0.x7y0_cplx[0].N sw0.pp1_sw0.x_cplx[0].N sw0.I1[0].N sw0.ca[0].N sw0.i1p_const[0].N 
3660 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
3720 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
3780 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 2 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
3840 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
3900 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 3 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
3960 4 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
4020 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
4080 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
4140 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
4200 4 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 2 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
4260 4 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
4320 4 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
4380 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 2 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
4440 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
4500 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
4560 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
4620 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
4680 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 2 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
4740 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
4800 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
4860 5 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
4920 4 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
4980 4 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 2 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
5040 3 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
5100 3 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
5160 3 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 3 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
5220 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
5280 4 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 3 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
5340 2 3 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
5400 3 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
5460 3 1 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
5520 3 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
5580 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 2 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
5640 3 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
5700 3 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
5760 2 2 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
5820 1 2 1 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
5880 1 2 1 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 3 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
5940 2 3 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
6000 2 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
6060 3 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 2 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
6120 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
6180 3 1 1 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
6240 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 3 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
6300 1 2 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
6360 2 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 4 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
6420 1 3 1 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
6480 3 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
6540 2 1 2 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 2.2584358959522257 420 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.042011994448323813 0.033604804949695567 0
