n1D1e-10,n1D1e-10-std,time,n2D1e-10,n2D1e-10-std,n4D1e-10,n4D1e-10-std,n8D1e-10,n8D1e-10-std,n32D1e-10,n32D1e-10-std,n64D1e-10,n64D1e-10-std,n1D1e-11,n1D1e-11-std,n2D1e-11,n2D1e-11-std,n4D1e-11,n4D1e-11-std,n8D1e-11,n8D1e-11-std,n32D1e-11,n32D1e-11-std,n64D1e-11,n64D1e-11-std,n1D1e-12,n1D1e-12-std,n2D1e-12,n2D1e-12-std,n4D1e-12,n4D1e-12-std,n8D1e-12,n8D1e-12-std,n32D1e-12,n32D1e-12-std,n64D1e-12,n64D1e-12-std,n1D1e-13,n1D1e-13-std,n2D1e-13,n2D1e-13-std,n4D1e-13,n4D1e-13-std,n8D1e-13,n8D1e-13-std,n32D1e-13,n32D1e-13-std,n64D1e-13,n64D1e-13-std,n1D1e-15,n1D1e-15-std,n2D1e-15,n2D1e-15-std,n4D1e-15,n4D1e-15-std,n8D1e-15,n8D1e-15-std,n32D1e-15,n32D1e-15-std,n64D1e-15,n64D1e-15-std,n1D1e-16,n1D1e-16-std,n2D1e-16,n2D1e-16-std,n4D1e-16,n4D1e-16-std,n8D1e-16,n8D1e-16-std,n32D1e-16,n32D1e-16-std,n64D1e-16,n64D1e-16-std,n1D1e-18,n1D1e-18-std,n2D1e-18,n2D1e-18-std,n4D1e-18,n4D1e-18-std,n8D1e-18,n8D1e-18-std,n32D1e-18,n32D1e-18-std,n64D1e-18,n64D1e-18-std
0.9,0.6244997998398398,0.1,0.95,0.7399324293474371,0.6,0.5830951894845301,0.2,0.5099019513592785,0.0,0.0,0.0,0.0,0.95,0.864580823289529,0.7,0.714142842854285,0.6,0.7348469228349533,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.8,0.7483314773547881,0.8,0.7483314773547883,0.7,0.7810249675906653,0.15,0.3570714214271425,0.0,0.0,0.0,0.0,0.85,0.8529361054615991,0.75,0.7664854858377946,0.8,0.8124038404635961,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.8046738469715541,0.85,0.8529361054615991,0.5,0.806225774829855,0.2,0.4,0.0,0.0,0.0,0.0,0.85,0.7262919523166975,0.8,0.7483314773547882,0.75,0.7664854858377946,0.25,0.5361902647381804,0.0,0.0,0.0,0.0,0.85,0.7921489758877431,0.9,0.8306623862918076,0.8,0.8124038404635961,0.05,0.21794494717703355,0.0,0.0,0.0,0.0
0.65,0.5722761571129797,0.11,0.85,0.7262919523166975,0.45,0.4974937185533101,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.85,0.8529361054615991,0.65,0.7262919523166975,0.5,0.7416198487095663,0.05,0.21794494717703355,0.0,0.0,0.0,0.0,0.8,0.7483314773547881,0.8,0.7483314773547883,0.6,0.8,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.75,0.7664854858377946,0.6,0.66332495807108,0.65,0.7262919523166975,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.7262919523166975,0.65,0.7262919523166975,0.45,0.7399324293474372,0.15,0.35707142142714243,0.0,0.0,0.0,0.0,0.8,0.6782329983125269,0.65,0.5722761571129797,0.7,0.714142842854285,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.75,0.7664854858377946,0.85,0.7262919523166976,0.45,0.7399324293474371,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.5894913061275798,0.12,0.75,0.6224949798994366,0.35,0.47696960070847283,0.05,0.2179449471770336,0.0,0.0,0.0,0.0,0.85,0.8529361054615991,0.6,0.66332495807108,0.35,0.6538348415311008,0.05,0.21794494717703355,0.0,0.0,0.0,0.0,0.7,0.714142842854285,0.75,0.7664854858377946,0.5,0.806225774829855,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.65,0.792148975887743,0.6,0.66332495807108,0.55,0.5894913061275798,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.7483314773547882,0.55,0.7399324293474372,0.4,0.7348469228349535,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.8,0.6782329983125269,0.5,0.5916079783099616,0.6,0.66332495807108,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.75,0.7664854858377946,0.7,0.714142842854285,0.4,0.7348469228349535,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.5894913061275798,0.13,0.7,0.6403124237432849,0.3,0.45825756949558394,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.812403840463596,0.55,0.6689544080129827,0.35,0.6538348415311008,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.714142842854285,0.65,0.6538348415311009,0.45,0.8046738469715541,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.45,0.7399324293474372,0.6,0.66332495807108,0.4,0.5830951894845301,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.698212002188447,0.5,0.6708203932499369,0.3,0.5567764362830022,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.8,0.6782329983125269,0.45,0.5894913061275798,0.5,0.6708203932499369,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.7262919523166975,0.7,0.714142842854285,0.3,0.5567764362830021,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.5894913061275798,0.14,0.6,0.66332495807108,0.15,0.3570714214271425,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7348469228349533,0.55,0.6689544080129827,0.35,0.6538348415311008,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5916079783099616,0.55,0.6689544080129827,0.3,0.6403124237432849,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.35,0.7262919523166975,0.55,0.6689544080129827,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.698212002188447,0.45,0.6689544080129827,0.25,0.5361902647381804,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.6,0.66332495807108,0.45,0.5894913061275798,0.4,0.66332495807108,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7348469228349535,0.55,0.7399324293474372,0.3,0.5567764362830021,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.5830951894845302,0.15,0.5,0.5916079783099616,0.15,0.3570714214271425,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.5894913061275798,0.55,0.6689544080129827,0.3,0.5567764362830021,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.5894913061275798,0.5,0.6708203932499369,0.3,0.6403124237432849,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.35,0.7262919523166975,0.45,0.5894913061275797,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.698212002188447,0.3,0.4582575694955839,0.2,0.4,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.6,0.66332495807108,0.35,0.5722761571129797,0.4,0.66332495807108,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.7399324293474372,0.5,0.7416198487095663,0.2,0.5099019513592785,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.5567764362830021,0.16,0.45,0.5894913061275798,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.49749371855331004,0.55,0.6689544080129827,0.15,0.35707142142714243,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.47696960070847283,0.4,0.4898979485566357,0.25,0.5361902647381804,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.3,0.6403124237432849,0.45,0.5894913061275797,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.66332495807108,0.25,0.4330127018922193,0.2,0.4,0.05,0.21794494717703355,0.0,0.0,0.0,0.0,0.45,0.6689544080129827,0.35,0.5722761571129797,0.35,0.6538348415311009,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.7399324293474372,0.35,0.653834841531101,0.15,0.35707142142714243,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.5567764362830021,0.17,0.45,0.5894913061275798,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.49749371855331004,0.5,0.6708203932499369,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4582575694955839,0.4,0.4898979485566357,0.25,0.5361902647381804,0.05,0.2179449471770336,0.0,0.0,0.0,0.0,0.3,0.6403124237432849,0.4,0.48989794855663565,0.15,0.3570714214271425,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.6689544080129827,0.25,0.4330127018922193,0.15,0.35707142142714243,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4582575694955839,0.3,0.5567764362830021,0.35,0.6538348415311009,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7416198487095663,0.3,0.5567764362830021,0.05,0.2179449471770336,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.5361902647381804,0.18,0.35,0.4769696007084728,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.48989794855663565,0.4,0.6633249580710802,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4582575694955839,0.3,0.45825756949558394,0.25,0.5361902647381804,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5361902647381804,0.4,0.48989794855663565,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.6689544080129827,0.2,0.4000000000000001,0.15,0.35707142142714243,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4330127018922193,0.25,0.5361902647381804,0.3,0.6403124237432848,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7416198487095663,0.3,0.5567764362830021,0.05,0.2179449471770336,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.5361902647381804,0.19,0.35,0.4769696007084728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.4769696007084728,0.35,0.5722761571129797,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4582575694955839,0.3,0.45825756949558394,0.15,0.47696960070847283,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5361902647381804,0.35,0.47696960070847283,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6708203932499369,0.2,0.4000000000000001,0.15,0.35707142142714243,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4330127018922193,0.2,0.5099019513592785,0.15,0.47696960070847283,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.6689544080129827,0.3,0.5567764362830021,0.05,0.2179449471770336,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.5361902647381804,0.2,0.35,0.4769696007084728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.4769696007084728,0.35,0.5722761571129797,0.05,0.21794494717703355,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4330127018922193,0.3,0.45825756949558394,0.15,0.47696960070847283,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5361902647381804,0.3,0.4582575694955839,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.5894913061275798,0.2,0.4000000000000001,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4330127018922193,0.2,0.5099019513592785,0.15,0.47696960070847283,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.6689544080129827,0.3,0.5567764362830021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.5361902647381804,0.21,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4582575694955839,0.3,0.5567764362830021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.15,0.3570714214271425,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5361902647381804,0.3,0.4582575694955839,0.05,0.21794494717703367,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.5894913061275798,0.15,0.35707142142714243,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4330127018922193,0.15,0.35707142142714243,0.15,0.47696960070847283,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5830951894845302,0.25,0.5361902647381804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.5361902647381804,0.22,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4330127018922193,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.15,0.3570714214271425,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5361902647381804,0.3,0.4582575694955839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5830951894845302,0.15,0.35707142142714243,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4330127018922193,0.15,0.35707142142714243,0.15,0.47696960070847283,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5567764362830021,0.25,0.5361902647381804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.5361902647381804,0.23,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4330127018922193,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.15,0.3570714214271425,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5361902647381804,0.3,0.4582575694955839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5830951894845302,0.1,0.30000000000000004,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.15,0.35707142142714243,0.1,0.4358898943540672,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4330127018922193,0.25,0.5361902647381804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.5099019513592785,0.24,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.15,0.3570714214271425,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5361902647381804,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.5722761571129799,0.1,0.30000000000000004,0.05,0.21794494717703355,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.35707142142714243,0.1,0.30000000000000004,0.1,0.4358898943540672,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.30000000000000004,0.25,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.15,0.3570714214271425,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5099019513592785,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5361902647381804,0.1,0.30000000000000004,0.05,0.21794494717703355,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.35707142142714243,0.1,0.30000000000000004,0.1,0.4358898943540672,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.15,0.35707142142714243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.30000000000000004,0.26,0.15,0.35707142142714243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.15,0.3570714214271425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.15,0.3570714214271425,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5099019513592785,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5361902647381804,0.1,0.30000000000000004,0.05,0.21794494717703355,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.35707142142714243,0.1,0.30000000000000004,0.1,0.4358898943540672,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.15,0.35707142142714243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
