n1D1e-11,n1D1e-11-std,time,n2D1e-11,n2D1e-11-std,n10D1e-11,n10D1e-11-std,n20D1e-11,n20D1e-11-std,n100D1e-11,n100D1e-11-std,n1D1e-12,n1D1e-12-std,n2D1e-12,n2D1e-12-std,n10D1e-12,n10D1e-12-std,n20D1e-12,n20D1e-12-std,n100D1e-12,n100D1e-12-std,n1D1e-13,n1D1e-13-std,n2D1e-13,n2D1e-13-std,n10D1e-13,n10D1e-13-std,n20D1e-13,n20D1e-13-std,n100D1e-13,n100D1e-13-std,n1D1e-15,n1D1e-15-std,n2D1e-15,n2D1e-15-std,n10D1e-15,n10D1e-15-std,n20D1e-15,n20D1e-15-std,n100D1e-15,n100D1e-15-std,n1D1e-16,n1D1e-16-std,n2D1e-16,n2D1e-16-std,n10D1e-16,n10D1e-16-std,n20D1e-16,n20D1e-16-std,n100D1e-16,n100D1e-16-std,n1D1e-18,n1D1e-18-std,n2D1e-18,n2D1e-18-std,n10D1e-18,n10D1e-18-std,n20D1e-18,n20D1e-18-std,n100D1e-18,n100D1e-18-std
0.0,0.0,1.34,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.1,0.30000000000000004,0.1,0.30000000000000004,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558394,0.5,0.5,0.3,0.45825756949558405,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558405,0.3,0.45825756949558394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.35,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.1,0.30000000000000004,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558394,0.5,0.5,0.3,0.45825756949558405,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558405,0.3,0.45825756949558394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.36,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.1,0.30000000000000004,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558394,0.5,0.5,0.3,0.45825756949558405,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558405,0.3,0.45825756949558394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.37,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558394,0.5,0.5,0.3,0.45825756949558405,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558405,0.3,0.45825756949558394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.3800000000000001,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558394,0.5,0.5,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558405,0.3,0.45825756949558394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.3900000000000001,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558394,0.5,0.5,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558405,0.3,0.45825756949558394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.4000000000000001,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558394,0.5,0.5,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558405,0.3,0.45825756949558394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.41,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558394,0.5,0.5,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558405,0.3,0.45825756949558394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.42,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558394,0.5,0.5,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558405,0.3,0.45825756949558394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.43,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558394,0.5,0.5,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.3,0.45825756949558405,0.3,0.45825756949558394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
